subject_id,classification_id,user_name,T2_1 Set scale (0.5 cm): x1,T2_1 Set scale (0.5 cm): y1,T2_1 Set scale (0.5 cm): x2,T2_1 Set scale (0.5 cm): y2,T2_1 Tegula length: x1,T2_1 Tegula length: y1,T2_1 Tegula length: x2,T2_1 Tegula length: y2,T3_1 Were you able to measure the bee?,catalogNumber,originalFileName,started_at,finished_at,gold_standard,expert,workflow_version,keep
82424739,450462561,dearmstrong,1691,912,2170,910,2702,1617,2864,1625,Yes,UCSB-IZC00010277,UCSB-IZC00010277_had_lbs.jpg,13-Nov-2022 02:38:48,13-Nov-2022 02:39:19,,,1.1,
82424742,450462622,dearmstrong,1638,785,2072,783,2166,1960,2511,1939,Yes,UCSB-IZC00010291,UCSB-IZC00010291_had_lbs.jpg,13-Nov-2022 02:39:19,13-Nov-2022 02:39:48,,,1.1,
82424869,450462656,dearmstrong,2052,883,2493,878,2918,2313,3192,2304,Yes,UCSB-IZC00041997,UCSB-IZC00041997_had_lbs.jpg,13-Nov-2022 02:39:48,13-Nov-2022 02:40:13,,,1.1,
82424733,450462712,dearmstrong,1869,754,2255,747,3010,1830,2673,1845,No,UCSB-IZC00009106,UCSB-IZC00009106_had_lbs.jpg,13-Nov-2022 02:40:13,13-Nov-2022 02:40:45,,,1.1,
82424781,450462764,dearmstrong,1682,798,2118,794,2487,1810,2844,1805,Yes,UCSB-IZC00034108,UCSB-IZC00034108_had_lbs.jpg,13-Nov-2022 02:40:45,13-Nov-2022 02:41:17,,,1.1,
82424939,450462833,dearmstrong,2250,785,2688,786,3040,1540,2760,1530,Yes,UCSB-IZC00042832,UCSB-IZC00042832_had_lbs.jpg,13-Nov-2022 02:41:17,13-Nov-2022 02:41:51,,,1.1,
82424901,450462886,dearmstrong,2185,648,2624,645,2883,1934,3150,1946,Yes,UCSB-IZC00042551,UCSB-IZC00042551_had_lbs.jpg,13-Nov-2022 02:41:51,13-Nov-2022 02:42:26,,,1.1,
82424927,450559090,Suem28,1770,646,2209,648,2274,1654,2533,1661,Yes,UCSB-IZC00042808,UCSB-IZC00042808_had_lbs.jpg,13-Nov-2022 19:29:48,13-Nov-2022 19:30:44,,,1.1,
82424914,450559167,Suem28,1883,702,2324,702,2963,1654,3247,1681,Yes,UCSB-IZC00042593,UCSB-IZC00042593_had_lbs.jpg,13-Nov-2022 19:30:44,13-Nov-2022 19:31:18,,,1.1,
82424801,450559248,Suem28,1816,902,2254,899,2357,1856,2632,1839,Yes,UCSB-IZC00036435,UCSB-IZC00036435_had_lbs.jpg,13-Nov-2022 19:31:18,13-Nov-2022 19:31:57,,,1.1,
82424902,450559343,Suem28,1756,725,2194,723,2534,2135,2796,2115,Yes,UCSB-IZC00042552,UCSB-IZC00042552_had_lbs.jpg,13-Nov-2022 19:31:57,13-Nov-2022 19:32:37,,,1.1,
82424961,450559423,Suem28,2051,874,2490,872,2705,2177,2993,2199,Yes,UCSB-IZC00044260,UCSB-IZC00044260_had_lbs.jpg,13-Nov-2022 19:32:37,13-Nov-2022 19:33:13,,,1.1,
82424823,450559526,Suem28,2186,808,2624,808,2830,1818,3102,1830,Yes,UCSB-IZC00038882,UCSB-IZC00038882_had_lbs.jpg,13-Nov-2022 19:33:13,13-Nov-2022 19:33:47,,,1.1,
82424736,450559638,Suem28,1600,834,2036,834,2225,2085,2650,2059,Yes,UCSB-IZC00009819,UCSB-IZC00009819_had_lbs.jpg,13-Nov-2022 19:33:47,13-Nov-2022 19:34:25,,,1.1,
82424875,450559833,Suem28,2170,728,2577,724,2555,1923,2802,1935,Yes,UCSB-IZC00042069,UCSB-IZC00042069_had_lbs.jpg,13-Nov-2022 19:34:25,13-Nov-2022 19:35:17,,,1.1,
82424901,450559943,Suem28,2186,631,2626,629,2881,1942,3166,1965,Yes,UCSB-IZC00042551,UCSB-IZC00042551_had_lbs.jpg,13-Nov-2022 19:35:17,13-Nov-2022 19:35:51,,,1.1,
82424870,450560106,Suem28,3017,273,3459,275,3742,1254,3782,1433,Yes,UCSB-IZC00042037,UCSB-IZC00042037_had_lbs.jpg,13-Nov-2022 19:35:52,13-Nov-2022 19:36:37,,,1.1,
82424832,450560243,Suem28,1777,799,2217,797,2598,1988,2849,1983,Yes,UCSB-IZC00038899,UCSB-IZC00038899_had_lbs.jpg,13-Nov-2022 19:36:37,13-Nov-2022 19:37:12,,,1.1,
82424903,450605301,LauraAM,2127,756,2566,757,2591,1793,2925,1787,Yes,UCSB-IZC00042556,UCSB-IZC00042556_had_lbs.jpg,14-Nov-2022 00:04:25,14-Nov-2022 00:05:14,,,1.1,
82424882,450605438,LauraAM,1959,809,2405,812,2578,1828,2895,1860,Yes,UCSB-IZC00042087,UCSB-IZC00042087_had_lbs.jpg,14-Nov-2022 00:05:14,14-Nov-2022 00:06:07,,,1.1,
82424960,450605627,LauraAM,1932,797,2366,800,2410,2078,2722,2069,Yes,UCSB-IZC00044259,UCSB-IZC00044259_had_lbs.jpg,14-Nov-2022 00:06:07,14-Nov-2022 00:07:08,,,1.1,
82424847,450605773,LauraAM,2130,738,2541,737,2815,1906,3077,1906,Yes,UCSB-IZC00038937,UCSB-IZC00038937_had_lbs.jpg,14-Nov-2022 00:07:08,14-Nov-2022 00:07:57,,,1.1,
82424941,450605908,LauraAM,2068,808,2509,812,2406,2026,2716,2027,Yes,UCSB-IZC00042848,UCSB-IZC00042848_had_lbs.jpg,14-Nov-2022 00:07:57,14-Nov-2022 00:08:45,,,1.1,
82424938,450606048,LauraAM,2074,616,2524,616,2831,2102,2522,2105,Yes,UCSB-IZC00042831,UCSB-IZC00042831_had_lbs.jpg,14-Nov-2022 00:08:45,14-Nov-2022 00:09:27,,,1.1,
82424844,450606185,LauraAM,2151,854,2599,861,2740,1547,3057,1555,Yes,UCSB-IZC00038930,UCSB-IZC00038930_had_lbs.jpg,14-Nov-2022 00:09:27,14-Nov-2022 00:10:07,,,1.1,
82424792,450606352,LauraAM,1574,774,2016,775,2448,2294,2996,2292,Yes,UCSB-IZC00035570,UCSB-IZC00035570_had_lbs.jpg,14-Nov-2022 00:10:07,14-Nov-2022 00:10:56,,,1.1,
82424824,450606473,LauraAM,1653,744,2099,748,2653,2056,2993,2056,Yes,UCSB-IZC00038883,UCSB-IZC00038883_had_lbs.jpg,14-Nov-2022 00:10:56,14-Nov-2022 00:11:37,,,1.1,
82424831,450606577,LauraAM,2130,808,2578,813,2959,1833,3288,1838,Yes,UCSB-IZC00038894,UCSB-IZC00038894_had_lbs.jpg,14-Nov-2022 00:11:37,14-Nov-2022 00:12:15,,,1.1,
82424845,450606676,LauraAM,2123,705,2533,706,2619,1591,2914,1594,Yes,UCSB-IZC00038934,UCSB-IZC00038934_had_lbs.jpg,14-Nov-2022 00:12:15,14-Nov-2022 00:12:55,,,1.1,
82424798,450606770,LauraAM,2055,181,2623,188,3245,1987,3302,1738,Yes,UCSB-IZC00036120,UCSB-IZC00036120_had_lbs.jpg,14-Nov-2022 00:12:55,14-Nov-2022 00:13:30,,,1.1,
82424827,450606885,LauraAM,2139,779,2587,783,2426,1979,2739,1981,Yes,UCSB-IZC00038887,UCSB-IZC00038887_had_lbs.jpg,14-Nov-2022 00:13:30,14-Nov-2022 00:14:04,,,1.1,
82424729,450607067,LauraAM,2129,743,2582,747,2602,1603,2821,1598,Yes,UCSB-IZC00006063,UCSB-IZC00006063_had_lbs.jpg,14-Nov-2022 00:14:04,14-Nov-2022 00:14:45,,,1.1,
82424857,450607149,LauraAM,1752,809,2207,819,2560,1543,2880,1545,Yes,UCSB-IZC00040988,UCSB-IZC00040988_had_lbs.jpg,14-Nov-2022 00:14:45,14-Nov-2022 00:15:21,,,1.1,
82424799,450607256,LauraAM,2098,151,2706,159,3088,1296,3386,1332,Yes,UCSB-IZC00036121,UCSB-IZC00036121_had_lbs.jpg,14-Nov-2022 00:15:21,14-Nov-2022 00:16:00,,,1.1,
82424946,450607433,LauraAM,2070,717,2523,723,2502,1643,2826,1650,Yes,UCSB-IZC00042888,UCSB-IZC00042888_had_lbs.jpg,14-Nov-2022 00:16:00,14-Nov-2022 00:16:54,,,1.1,
82424955,450607530,LauraAM,2046,720,2457,722,2771,1976,3054,1956,Yes,UCSB-IZC00043703,UCSB-IZC00043703_had_lbs.jpg,14-Nov-2022 00:16:54,14-Nov-2022 00:17:24,,,1.1,
82424888,450607600,LauraAM,2134,769,2588,772,3098,1838,3444,1821,Yes,UCSB-IZC00042102,UCSB-IZC00042102_had_lbs.jpg,14-Nov-2022 00:17:24,14-Nov-2022 00:17:59,,,1.1,
82424889,450607650,LauraAM,1675,775,2123,779,2209,2312,2561,2339,Yes,UCSB-IZC00042107,UCSB-IZC00042107_had_lbs.jpg,14-Nov-2022 00:17:59,14-Nov-2022 00:18:36,,,1.1,
82424881,450607695,LauraAM,2160,785,2614,788,2582,1828,2877,1810,Yes,UCSB-IZC00042086,UCSB-IZC00042086_had_lbs.jpg,14-Nov-2022 00:18:36,14-Nov-2022 00:19:10,,,1.1,
82424961,450607747,LauraAM,2048,851,2496,854,2682,2205,3011,2234,Yes,UCSB-IZC00044260,UCSB-IZC00044260_had_lbs.jpg,14-Nov-2022 00:19:10,14-Nov-2022 00:19:39,,,1.1,
82424872,450607816,LauraAM,2094,670,2503,674,2721,1732,3035,1731,Yes,UCSB-IZC00042063,UCSB-IZC00042063_had_lbs.jpg,14-Nov-2022 00:19:39,14-Nov-2022 00:20:11,,,1.1,
82424784,450607895,LauraAM,1482,444,1922,443,1875,1278,2294,1283,Yes,UCSB-IZC00034475,UCSB-IZC00034475_had_lbs.jpg,14-Nov-2022 00:20:11,14-Nov-2022 00:20:47,,,1.1,
82424914,450607949,LauraAM,1882,679,2330,682,2935,1663,3264,1688,Yes,UCSB-IZC00042593,UCSB-IZC00042593_had_lbs.jpg,14-Nov-2022 00:20:47,14-Nov-2022 00:21:16,,,1.1,
82424907,450608054,LauraAM,2376,537,2823,539,3076,1744,3393,1764,Yes,UCSB-IZC00042575,UCSB-IZC00042575_had_lbs.jpg,14-Nov-2022 00:21:16,14-Nov-2022 00:22:19,,,1.1,
82424938,450618342,not-logged-in-81967651f19085168d67,2082,576,2525,580,2521,2126,2834,2080,Yes,UCSB-IZC00042831,UCSB-IZC00042831_had_lbs.jpg,14-Nov-2022 01:31:38,14-Nov-2022 01:33:19,,,1.1,
82424771,450649261,dearmstrong,1669,801,2105,796,2995,1509,3534,1547,Yes,UCSB-IZC00033120,UCSB-IZC00033120_had_lbs.jpg,14-Nov-2022 05:40:30,14-Nov-2022 05:40:54,,,1.1,
82424866,450649304,dearmstrong,1601,879,2037,872,1921,2029,2187,1977,Yes,UCSB-IZC00041869,UCSB-IZC00041869_had_lbs.jpg,14-Nov-2022 05:40:54,14-Nov-2022 05:41:19,,,1.1,
82424737,450649340,dearmstrong,1738,812,2173,809,2469,1642,2899,1622,Yes,UCSB-IZC00009840,UCSB-IZC00009840_had_lbs.jpg,14-Nov-2022 05:41:19,14-Nov-2022 05:41:46,,,1.1,
82424847,450649369,dearmstrong,2133,759,2537,756,2825,1892,3066,1894,Yes,UCSB-IZC00038937,UCSB-IZC00038937_had_lbs.jpg,14-Nov-2022 05:41:46,14-Nov-2022 05:42:10,,,1.1,
82424837,450649402,dearmstrong,2135,867,2576,862,2675,1919,2936,1934,Yes,UCSB-IZC00038910,UCSB-IZC00038910_had_lbs.jpg,14-Nov-2022 05:42:10,14-Nov-2022 05:42:38,,,1.1,
82424928,450649444,dearmstrong,2077,603,2521,600,2651,1331,2370,1336,Yes,UCSB-IZC00042809,UCSB-IZC00042809_had_lbs.jpg,14-Nov-2022 05:42:38,14-Nov-2022 05:43:03,,,1.1,
82424773,450649492,dearmstrong,1582,778,2022,775,3381,1765,3998,1765,Yes,UCSB-IZC00033126,UCSB-IZC00033126_had_lbs.jpg,14-Nov-2022 05:43:03,14-Nov-2022 05:43:32,,,1.1,
82424915,450649530,dearmstrong,1840,626,2278,624,2898,1807,2636,1807,Yes,UCSB-IZC00042594,UCSB-IZC00042594_had_lbs.jpg,14-Nov-2022 05:43:32,14-Nov-2022 05:44:03,,,1.1,
82424918,450649578,dearmstrong,1737,702,2175,701,2639,1753,2372,1753,Yes,UCSB-IZC00042600,UCSB-IZC00042600_had_lbs.jpg,14-Nov-2022 05:44:03,14-Nov-2022 05:44:27,,,1.1,
82424815,450649609,dearmstrong,1676,776,2117,776,2571,1477,2298,1519,Yes,UCSB-IZC00038672,UCSB-IZC00038672_had_lbs.jpg,14-Nov-2022 05:44:28,14-Nov-2022 05:44:53,,,1.1,
82424768,450649648,dearmstrong,1653,822,2073,819,2829,2389,2286,2428,Yes,UCSB-IZC00033070,UCSB-IZC00033070_had_lbs.jpg,14-Nov-2022 05:44:53,14-Nov-2022 05:45:20,,,1.1,
82424876,450649697,dearmstrong,2030,767,2466,764,2997,1469,2724,1490,Yes,UCSB-IZC00042075,UCSB-IZC00042075_had_lbs.jpg,14-Nov-2022 05:45:20,14-Nov-2022 05:45:46,,,1.1,
82424780,450649747,dearmstrong,1621,858,2062,852,2626,1680,2291,1666,Yes,UCSB-IZC00033369,UCSB-IZC00033369_had_lbs.jpg,14-Nov-2022 05:45:46,14-Nov-2022 05:46:13,,,1.1,
82424792,450649806,dearmstrong,1581,796,2016,790,2976,2241,2482,2254,Yes,UCSB-IZC00035570,UCSB-IZC00035570_had_lbs.jpg,14-Nov-2022 05:46:13,14-Nov-2022 05:46:40,,,1.1,
82424956,450649856,dearmstrong,2256,874,2660,867,2859,1993,3113,1997,Yes,UCSB-IZC00043723,UCSB-IZC00043723_had_lbs.jpg,14-Nov-2022 05:46:40,14-Nov-2022 05:47:03,,,1.1,
82424856,450649905,dearmstrong,1605,866,2041,859,2772,2194,2460,2200,Yes,UCSB-IZC00040840,UCSB-IZC00040840_had_lbs.jpg,14-Nov-2022 05:47:03,14-Nov-2022 05:47:39,,,1.1,
82424808,450649957,dearmstrong,2061,220,2625,212,3582,1340,3579,1568,Yes,UCSB-IZC00037714,UCSB-IZC00037714_had_lbs.jpg,14-Nov-2022 05:47:39,14-Nov-2022 05:48:09,,,1.1,
82424823,450649996,dearmstrong,2183,829,2619,823,3096,1839,2838,1836,Yes,UCSB-IZC00038882,UCSB-IZC00038882_had_lbs.jpg,14-Nov-2022 05:48:09,14-Nov-2022 05:48:33,,,1.1,
82424767,450650034,dearmstrong,1951,869,2390,860,3175,1930,2747,1954,Yes,UCSB-IZC00033069,UCSB-IZC00033069_had_lbs.jpg,14-Nov-2022 05:48:33,14-Nov-2022 05:48:55,,,1.1,
82424961,450650065,dearmstrong,2050,880,2491,875,2994,2207,2712,2182,Yes,UCSB-IZC00044260,UCSB-IZC00044260_had_lbs.jpg,14-Nov-2022 05:48:55,14-Nov-2022 05:49:19,,,1.1,
82424803,450650095,dearmstrong,1987,259,2546,251,3302,1663,3313,1908,Yes,UCSB-IZC00036683,UCSB-IZC00036683_had_lbs.jpg,14-Nov-2022 05:49:19,14-Nov-2022 05:49:41,,,1.1,
82424852,450650112,dearmstrong,1599,876,2037,875,1926,1452,2202,1423,Yes,UCSB-IZC00040413,UCSB-IZC00040413_had_lbs.jpg,14-Nov-2022 05:49:41,14-Nov-2022 05:50:06,,,1.1,
82424807,450650135,dearmstrong,2050,882,2490,875,2710,1993,2970,2007,Yes,UCSB-IZC00037702,UCSB-IZC00037702_had_lbs.jpg,14-Nov-2022 05:50:06,14-Nov-2022 05:50:28,,,1.1,
