subject_id,T2_1 Set scale (0.5 cm): pixel_length,T2_1 Set scale (0.5 cm): x1,T2_1 Set scale (0.5 cm): x2,T2_1 Set scale (0.5 cm): y1,T2_1 Set scale (0.5 cm): y2,T2_1 Tegula length: length cm,T2_1 Tegula length: pixel_length,T2_1 Tegula length: x1,T2_1 Tegula length: x2,T2_1 Tegula length: y1,T2_1 Tegula length: y2,T3_1 Were you able to measure the bee?,genus,catalogNumber,scientificName,specificEpithet,originalFilename,subspecificEpithet
75817341,246.01,1996,2242,774,772,0.16,78.06,2012,2009,1308,1386,No,Hesperapis,EMEC1325966,Hesperapis arenicola,arenicola,EMEC1325966 Hesperapis arenicola.jpg,
75817342,248.01,2196,2444,571,573,0.14,67.9,2032,2021,1389,1322,Yes,Hesperapis,EMEC1325967,Hesperapis arenicola,arenicola,EMEC1325967 Hesperapis arenicola.jpg,
75817343,247.02,1900,2147,584,587,0.15,72.67,1821,1881,1325,1366,Yes,Hesperapis,EMEC1326003,Hesperapis arida,arida,EMEC1326003 Hesperapis arida.jpg,
75817344,252.0,1903,2155,610,611,0.16,79.03,1794,1873,1232,1234,Yes,Hesperapis,EMEC1326004,Hesperapis arida,arida,EMEC1326004 Hesperapis arida.jpg,
75817345,246.0,1903,2149,606,607,0.17,83.02,1897,1980,1339,1341,Yes,Hesperapis,EMEC1326005,Hesperapis arida,arida,EMEC1326005 Hesperapis arida.jpg,
75817346,150.01,1950,2100,614,616,0.13,38.47,1960,1954,1304,1342,Yes,Hesperapis,EMEC1326006,Hesperapis arida,arida,EMEC1326006 Hesperapis arida.jpg,
75817347,248.0,1903,2151,604,605,0.09,44.55,1953,1997,1316,1309,Yes,Hesperapis,EMEC1326007,Hesperapis arida,arida,EMEC1326007 Hesperapis arida.jpg,
75817348,246.0,1904,2150,608,609,0.16,77.06,1941,2018,1347,1350,Yes,Hesperapis,EMEC1326008,Hesperapis arida,arida,EMEC1326008 Hesperapis arida.jpg,
75817349,250.01,1901,2151,598,600,0.16,80.22,1900,1980,1301,1307,Yes,Hesperapis,EMEC1326009,Hesperapis arida,arida,EMEC1326009 Hesperapis arida.jpg,
75817350,149.0,1951,2100,615,615,0.23,69.18,1860,1929,1281,1276,Yes,Hesperapis,EMEC1326010,Hesperapis arida,arida,EMEC1326010 Hesperapis arida.jpg,
75817351,245.0,1907,2152,626,627,0.16,76.16,1879,1955,1252,1257,Yes,Hesperapis,EMEC1326011,Hesperapis arida,arida,EMEC1326011 Hesperapis arida.jpg,
75817352,149.0,1954,2103,619,619,0.24,71.45,1947,2018,1341,1349,Yes,Hesperapis,EMEC1326012,Hesperapis arida,arida,EMEC1326012 Hesperapis arida.jpg,
75817353,147.0,1955,2102,610,610,0.26,77.03,1920,1997,1259,1261,Yes,Hesperapis,EMEC1326013,Hesperapis arida,arida,EMEC1326013 Hesperapis arida.jpg,
75817354,250.0,1901,2151,602,602,0.07,37.01,1842,1879,1251,1252,Yes,Hesperapis,EMEC1326014,Hesperapis arida,arida,EMEC1326014 Hesperapis arida.jpg,
75817355,271.07,2002,2273,819,813,0.13,68.45,2525,2554,1417,1479,Yes,Hesperapis,EMEC1326015,Hesperapis arida,arida,EMEC1326015 Hesperapis arida.jpg,
75817356,248.0,1903,2151,617,617,0.18,88.0,1892,1980,1384,1384,Yes,Hesperapis,EMEC1326016,Hesperapis arida,arida,EMEC1326016 Hesperapis arida.jpg,
75817357,249.0,1902,2151,613,614,0.15,77.1,1874,1950,1264,1277,Yes,Hesperapis,EMEC1326017,Hesperapis arida,arida,EMEC1326017 Hesperapis arida.jpg,
75817358,50.0,2002,2052,606,606,0.16,16.03,1980,1996,1341,1342,Yes,Hesperapis,EMEC1326018,Hesperapis arida,arida,EMEC1326018 Hesperapis arida.jpg,
75817359,249.0,1902,2151,608,609,0.16,77.32,1902,1979,1292,1285,Yes,Hesperapis,EMEC1326019,Hesperapis arida,arida,EMEC1326019 Hesperapis arida.jpg,
75817360,240.0,1908,2148,617,616,0.17,80.16,1895,1975,1268,1263,Yes,Hesperapis,EMEC1326020,Hesperapis arida,arida,EMEC1326020 Hesperapis arida.jpg,
75817361,247.01,1899,2146,620,622,0.17,85.48,1854,1939,1283,1274,Yes,Hesperapis,EMEC1326021,Hesperapis arida,arida,EMEC1326021 Hesperapis arida.jpg,
75817362,146.01,1957,2103,618,620,0.25,71.57,1899,1970,1364,1355,Yes,Hesperapis,EMEC1326022,Hesperapis arida,arida,EMEC1326022 Hesperapis arida.jpg,
75817363,147.0,1953,2100,605,606,0.24,71.03,1842,1913,1330,1328,Yes,Hesperapis,EMEC1326023,Hesperapis arida,arida,EMEC1326023 Hesperapis arida.jpg,
75817364,253.0,1898,2151,611,610,0.16,83.0,1946,2029,1376,1376,Yes,Hesperapis,EMEC1326024,Hesperapis arida,arida,EMEC1326024 Hesperapis arida.jpg,
75817365,201.49,1908,2109,855,869,0.34,136.62,1901,1943,1634,1764,No,Hesperapis,EMEC1326025,Hesperapis arida,arida,EMEC1326025 Hesperapis arida.jpg,
75817366,247.0,1903,2150,618,619,0.15,72.0,1923,1995,1304,1304,Yes,Hesperapis,EMEC1326026,Hesperapis arida,arida,EMEC1326026 Hesperapis arida.jpg,
75817367,248.0,1904,2152,622,621,0.39,191.91,1944,2134,1536,1563,No,Hesperapis,EMEC1326027,Hesperapis arida,arida,EMEC1326027 Hesperapis arida.jpg,
75817368,243.01,1856,2099,608,610,0.18,86.05,1888,1974,1332,1329,Yes,Hesperapis,EMEC1326028,Hesperapis arida,arida,EMEC1326028 Hesperapis arida.jpg,
75817369,367.23,1846,2212,680,710,0.32,232.13,1875,2101,1744,1797,No,Hesperapis,EMEC1326029,Hesperapis arida,arida,EMEC1326029 Hesperapis arida.jpg,
75817370,249.0,1895,2144,627,627,0.25,123.1,1916,2039,1203,1208,Yes,Hesperapis,EMEC1326030,Hesperapis carinata,carinata,EMEC1326030 Hesperapis carinata.jpg,
75817371,246.02,1902,2148,616,619,0.3,148.57,1957,2105,1236,1223,Yes,Hesperapis,EMEC1326031,Hesperapis carinata,carinata,EMEC1326031 Hesperapis carinata.jpg,
75817372,146.0,1958,2104,614,615,0.47,138.13,1907,2045,1284,1278,Yes,Hesperapis,EMEC1326032,Hesperapis carinata,carinata,EMEC1326032 Hesperapis carinata.jpg,
75817373,249.0,1902,2151,620,620,0.25,122.07,1913,2035,1282,1286,Yes,Hesperapis,EMEC1326033,Hesperapis carinata,carinata,EMEC1326033 Hesperapis carinata.jpg,
75817374,244.01,1904,2148,610,608,0.27,129.71,1915,2043,1309,1288,Yes,Hesperapis,EMEC1326034,Hesperapis carinata,carinata,EMEC1326034 Hesperapis carinata.jpg,
75817375,248.0,1907,2155,607,607,0.21,103.39,1904,2007,1294,1303,Yes,Hesperapis,EMEC1326035,Hesperapis carinata,carinata,EMEC1326035 Hesperapis carinata.jpg,
75817376,256.0,1873,2129,609,608,0.28,144.0,1920,2064,1205,1204,Yes,Hesperapis,EMEC1326036,Hesperapis carinata,carinata,EMEC1326036 Hesperapis carinata.jpg,
75817377,247.0,1904,2151,610,611,0.31,153.05,1937,2090,1347,1343,Yes,Hesperapis,EMEC1326037,Hesperapis carinata,carinata,EMEC1326037 Hesperapis carinata.jpg,
75817378,255.05,2090,2345,601,596,0.3,154.21,1839,1993,1267,1275,Yes,Hesperapis,EMEC1326038,Hesperapis carinata,carinata,EMEC1326038 Hesperapis carinata.jpg,
75817379,146.0,1954,2100,598,598,0.38,110.11,1847,1957,1197,1192,Yes,Hesperapis,EMEC1326039,Hesperapis carinata,carinata,EMEC1326039 Hesperapis carinata.jpg,
75817380,246.02,2101,2347,604,607,0.29,140.43,1819,1958,1252,1232,Yes,Hesperapis,EMEC1326040,Hesperapis carinata,carinata,EMEC1326040 Hesperapis carinata.jpg,
75817381,92.2,1968,1948,725,815,0.68,125.43,1925,2027,1361,1288,Yes,Hesperapis,EMEC1326041,Hesperapis carinata,carinata,EMEC1326041 Hesperapis carinata.jpg,
75817382,249.0,1903,2152,617,618,0.24,120.0,1809,1929,1316,1317,Yes,Hesperapis,EMEC1326042,Hesperapis carinata,carinata,EMEC1326042 Hesperapis carinata.jpg,
75817383,241.02,1909,2150,595,592,0.26,125.4,1881,2006,1256,1246,Yes,Hesperapis,EMEC1326043,Hesperapis carinata,carinata,EMEC1326043 Hesperapis carinata.jpg,
75817384,252.0,1889,2141,696,696,0.25,125.78,1875,2000,1280,1266,Yes,Hesperapis,EMEC1326044,Hesperapis carinata,carinata,EMEC1326044 Hesperapis carinata.jpg,
75817385,247.01,1905,2152,615,617,0.31,151.91,1845,1995,1304,1280,Yes,Hesperapis,EMEC1326045,Hesperapis carinata,carinata,EMEC1326045 Hesperapis carinata.jpg,
75817386,147.0,1904,2051,615,615,0.28,81.58,1873,1953,1181,1165,Yes,Hesperapis,EMEC1326046,Hesperapis carinata,carinata,EMEC1326046 Hesperapis carinata.jpg,
75817387,251.02,1908,2159,600,603,0.22,108.02,1846,1954,1245,1243,Yes,Hesperapis,EMEC1326047,Hesperapis carinata,carinata,EMEC1326047 Hesperapis carinata.jpg,
75817388,230.02,1854,2084,752,749,0.3,136.44,1873,2009,1364,1353,Yes,Hesperapis,EMEC1326048,Hesperapis carinata,carinata,EMEC1326048 Hesperapis carinata.jpg,
75817389,253.01,1849,2102,607,605,0.29,144.5,1807,1951,1270,1282,Yes,Hesperapis,EMEC1326049,Hesperapis carinata,carinata,EMEC1326049 Hesperapis carinata.jpg,
75817390,216.45,1847,2041,706,802,0.27,118.02,1753,1871,1181,1183,Yes,Hesperapis,EMEC1326050,Hesperapis carinata,carinata,EMEC1326050 Hesperapis carinata.jpg,
75817391,250.01,1849,2099,597,595,0.24,118.11,1827,1945,1311,1316,Yes,Hesperapis,EMEC1326051,Hesperapis carinata,carinata,EMEC1326051 Hesperapis carinata.jpg,
75817392,244.01,1852,2096,619,617,0.21,104.58,1885,1989,1275,1264,Yes,Hesperapis,EMEC1326052,Hesperapis carinata,carinata,EMEC1326052 Hesperapis carinata.jpg,
75817393,246.0,1849,2095,610,609,0.2,100.04,1943,2043,1313,1316,Yes,Hesperapis,EMEC1326053,Hesperapis carinata,carinata,EMEC1326053 Hesperapis carinata.jpg,
75817394,242.01,1852,2094,599,597,0.23,109.0,1857,1966,1304,1304,Yes,Hesperapis,EMEC1326054,Hesperapis carinata,carinata,EMEC1326054 Hesperapis carinata.jpg,
75817395,49.01,1944,1993,622,621,1.13,110.29,1839,1949,1255,1247,Yes,Hesperapis,EMEC1326055,Hesperapis carinata,carinata,EMEC1326055 Hesperapis carinata.jpg,
75817396,245.0,1860,2105,599,598,0.23,111.04,1926,2037,1264,1267,Yes,Hesperapis,EMEC1326056,Hesperapis carinata,carinata,EMEC1326056 Hesperapis carinata.jpg,
75817397,246.01,1848,2094,617,615,0.29,144.42,1919,2063,1258,1269,Yes,Hesperapis,EMEC1326057,Hesperapis carinata,carinata,EMEC1326057 Hesperapis carinata.jpg,
75817398,249.02,1851,2100,613,610,0.24,117.11,1891,2008,1293,1298,Yes,Hesperapis,EMEC1326058,Hesperapis carinata,carinata,EMEC1326058 Hesperapis carinata.jpg,
75817399,149.0,1898,2047,593,593,0.39,117.0,1928,2045,1285,1284,Yes,Hesperapis,EMEC1326059,Hesperapis carinata,carinata,EMEC1326059 Hesperapis carinata.jpg,
75817400,250.0,1852,2102,603,602,0.27,134.13,1804,1938,1312,1306,Yes,Hesperapis,EMEC1326060,Hesperapis carinata,carinata,EMEC1326060 Hesperapis carinata.jpg,
75817401,220.53,1850,2045,698,801,0.32,140.06,1782,1922,1244,1248,Yes,Hesperapis,EMEC1326061,Hesperapis carinata,carinata,EMEC1326061 Hesperapis carinata.jpg,
75817402,248.01,1852,2100,607,605,0.24,117.72,1825,1942,1244,1231,Yes,Hesperapis,EMEC1326062,Hesperapis carinata,carinata,EMEC1326062 Hesperapis carinata.jpg,
75817403,241.03,1855,2096,606,602,0.22,108.04,1804,1912,1256,1259,Yes,Hesperapis,EMEC1326063,Hesperapis carinata,carinata,EMEC1326063 Hesperapis carinata.jpg,
75817404,152.01,1844,1996,621,619,0.4,121.0,1850,1971,1269,1269,Yes,Hesperapis,EMEC1326064,Hesperapis carinata,carinata,EMEC1326064 Hesperapis carinata.jpg,
75817405,205.73,1874,2057,712,806,0.24,100.6,1884,1984,1254,1265,Yes,Hesperapis,EMEC1326065,Hesperapis carinata,carinata,EMEC1326065 Hesperapis carinata.jpg,
75817406,305.0,1848,2153,587,587,0.04,26.93,1841,1867,1252,1245,Yes,Hesperapis,EMEC1326066,Hesperapis carinata,carinata,EMEC1326066 Hesperapis carinata.jpg,
75817407,147.03,1898,2045,622,619,0.39,114.0,1839,1953,1279,1278,Yes,Hesperapis,EMEC1326067,Hesperapis carinata,carinata,EMEC1326067 Hesperapis carinata.jpg,
75817408,244.01,1804,2048,615,613,0.24,118.07,1804,1920,1278,1300,Yes,Hesperapis,EMEC1326068,Hesperapis carinata,carinata,EMEC1326068 Hesperapis carinata.jpg,
75817409,251.03,1848,2099,619,615,0.22,109.62,1807,1896,1298,1362,Yes,Hesperapis,EMEC1326069,Hesperapis carinata,carinata,EMEC1326069 Hesperapis carinata.jpg,
75817410,244.01,1853,2097,591,589,0.23,114.02,1869,1983,1368,1366,Yes,Hesperapis,EMEC1326070,Hesperapis carinata,carinata,EMEC1326070 Hesperapis carinata.jpg,
75817411,246.02,1846,2092,604,601,0.25,123.15,1830,1953,1126,1132,Yes,Hesperapis,EMEC1326071,Hesperapis carinata,carinata,EMEC1326071 Hesperapis carinata.jpg,
75817412,248.0,1851,2099,570,569,0.26,129.14,1892,2021,1262,1256,Yes,Hesperapis,EMEC1326072,Hesperapis carinata,carinata,EMEC1326072 Hesperapis carinata.jpg,
75817413,247.01,1849,2096,594,592,0.21,104.81,1905,2009,1294,1307,Yes,Hesperapis,EMEC1326073,Hesperapis carinata,carinata,EMEC1326073 Hesperapis carinata.jpg,
75817414,287.5,1838,2125,786,769,0.23,130.0,1940,2018,1217,1321,Yes,Hesperapis,EMEC1326074,Hesperapis carinata,carinata,EMEC1326074 Hesperapis carinata.jpg,
75817415,240.01,1854,2094,604,602,0.24,117.07,1877,1994,1233,1237,Yes,Hesperapis,EMEC1326076,Hesperapis carinata,carinata,EMEC1326076 Hesperapis carinata.jpg,
75817416,152.01,1901,2053,596,594,0.39,120.07,1897,2017,1270,1274,Yes,Hesperapis,EMEC1326077,Hesperapis carinata,carinata,EMEC1326077 Hesperapis carinata.jpg,
75817417,225.94,1856,2055,607,714,0.36,164.05,1806,1970,1194,1190,Yes,Hesperapis,EMEC1326078,Hesperapis carinata,carinata,EMEC1326078 Hesperapis carinata.jpg,
75817418,252.0,1853,2105,599,599,0.24,123.0,1802,1925,1282,1281,Yes,Hesperapis,EMEC1326079,Hesperapis carinata,carinata,EMEC1326079 Hesperapis carinata.jpg,
75817419,247.0,1858,2105,608,607,0.23,112.01,1842,1953,1159,1174,Yes,Hesperapis,EMEC1326080,Hesperapis carinata,carinata,EMEC1326080 Hesperapis carinata.jpg,
75817420,147.03,1853,2000,613,610,0.4,119.04,1783,1902,1233,1230,Yes,Hesperapis,EMEC1326081,Hesperapis carinata,carinata,EMEC1326081 Hesperapis carinata.jpg,
75817421,150.0,1899,2049,615,614,0.38,114.0,1855,1969,1272,1273,Yes,Hesperapis,EMEC1326082,Hesperapis carinata,carinata,EMEC1326082 Hesperapis carinata.jpg,
75817422,243.02,1857,2100,604,601,0.25,122.26,1812,1934,1245,1253,Yes,Hesperapis,EMEC1326083,Hesperapis carinata,carinata,EMEC1326083 Hesperapis carinata.jpg,
75817423,129.02,1895,2024,737,735,0.51,132.19,1833,1965,1269,1262,Yes,Hesperapis,EMEC1326084,Hesperapis carinata,carinata,EMEC1326084 Hesperapis carinata.jpg,
75817424,261.22,1750,1997,917,1002,0.41,214.95,1842,1928,1187,1384,Yes,Hesperapis,EMEC1326085,Hesperapis carinata,carinata,EMEC1326085 Hesperapis carinata.jpg,
75817425,227.11,1849,2076,775,768,0.33,148.6,1830,1949,1178,1267,Yes,Hesperapis,EMEC1326086,Hesperapis carinata,carinata,EMEC1326086 Hesperapis carinata.jpg,
75817426,152.03,1857,2009,622,619,0.39,119.0,1815,1934,1221,1220,Yes,Hesperapis,EMEC1326087,Hesperapis carinata,carinata,EMEC1326087 Hesperapis carinata.jpg,
75817427,248.03,1852,2100,615,611,0.18,91.68,1843,1932,1232,1210,Yes,Hesperapis,EMEC1326088,Hesperapis carinata,carinata,EMEC1326088 Hesperapis carinata.jpg,
75817428,149.0,1851,2000,611,610,0.39,116.07,1933,2049,1381,1385,Yes,Hesperapis,EMEC1326089,Hesperapis carinata,carinata,EMEC1326089 Hesperapis carinata.jpg,
75817429,219.13,1845,2041,707,805,0.27,120.07,1961,2078,1270,1297,Yes,Hesperapis,EMEC1326090,Hesperapis carinata,carinata,EMEC1326090 Hesperapis carinata.jpg,
75817430,49.01,1949,1998,604,603,0.75,73.03,1783,1856,1243,1241,Yes,Hesperapis,EMEC1326091,Hesperapis carinata,carinata,EMEC1326091 Hesperapis carinata.jpg,
75817431,220.99,1847,2053,705,785,0.14,63.0,1821,1884,1242,1242,Yes,Hesperapis,EMEC1326092,Hesperapis carinata,carinata,EMEC1326092 Hesperapis carinata.jpg,
75817432,248.01,1827,2075,707,705,0.24,117.09,1839,1954,1266,1244,Yes,Hesperapis,EMEC1326093,Hesperapis carinata,carinata,EMEC1326093 Hesperapis carinata.jpg,
75817433,248.0,1855,2103,775,774,0.31,154.8,1905,2024,1210,1309,Yes,Hesperapis,EMEC1326094,Hesperapis carinata,carinata,EMEC1326094 Hesperapis carinata.jpg,
75817434,246.0,1853,2099,599,599,0.22,107.91,1848,1955,1288,1274,Yes,Hesperapis,EMEC1326095,Hesperapis carinata,carinata,EMEC1326095 Hesperapis carinata.jpg,
75817435,248.0,1851,2099,598,597,0.21,105.0,1863,1968,1261,1260,Yes,Hesperapis,EMEC1326096,Hesperapis carinata,carinata,EMEC1326096 Hesperapis carinata.jpg,
75817436,250.03,1853,2103,600,596,0.2,102.08,1842,1944,1279,1283,Yes,Hesperapis,EMEC1326097,Hesperapis carinata,carinata,EMEC1326097 Hesperapis carinata.jpg,
75817437,246.0,1850,2096,786,786,0.22,106.89,1910,1957,1186,1282,Yes,Hesperapis,EMEC1326098,Hesperapis carinata,carinata,EMEC1326098 Hesperapis carinata.jpg,
75817438,150.01,1903,2053,619,617,0.37,111.16,1843,1954,1367,1361,Yes,Hesperapis,EMEC1326099,Hesperapis carinata,carinata,EMEC1326099 Hesperapis carinata.jpg,
75817439,258.02,2031,2289,616,613,0.28,144.01,1836,1980,1223,1221,Yes,Hesperapis,EMEC1326100,Hesperapis carinata,carinata,EMEC1326100 Hesperapis carinata.jpg,
75817440,248.02,1847,2095,711,708,0.23,116.16,1875,1991,1298,1304,Yes,Hesperapis,EMEC1326101,Hesperapis carinata,carinata,EMEC1326101 Hesperapis carinata.jpg,
75817441,138.71,1911,2013,731,825,0.2,56.14,1867,1923,1349,1345,Yes,Hesperapis,EMEC1326102,Hesperapis carinata,carinata,EMEC1326102 Hesperapis carinata.jpg,
75817442,150.0,1755,1905,598,598,0.47,141.06,1797,1938,1272,1268,Yes,Hesperapis,EMEC1326103,Hesperapis carinata,carinata,EMEC1326103 Hesperapis carinata.jpg,
75817443,249.0,1854,2103,589,589,0.29,142.23,1822,1964,1298,1290,Yes,Hesperapis,EMEC1326104,Hesperapis carinata,carinata,EMEC1326104 Hesperapis carinata.jpg,
75817444,151.01,1886,2037,624,622,0.27,82.02,1859,1941,1250,1252,Yes,Hesperapis,EMEC1326105,Hesperapis carinata,carinata,EMEC1326105 Hesperapis carinata.jpg,
75817445,252.07,1855,2107,599,593,0.24,123.1,1848,1971,1248,1243,Yes,Hesperapis,EMEC1326106,Hesperapis carinata,carinata,EMEC1326106 Hesperapis carinata.jpg,
75817446,246.01,1852,2098,618,616,0.25,122.0,1884,2006,1283,1283,Yes,Hesperapis,EMEC1326107,Hesperapis carinata,carinata,EMEC1326107 Hesperapis carinata.jpg,
75817447,246.07,1809,2055,700,694,0.27,131.1,1837,1968,1311,1306,Yes,Hesperapis,EMEC1326108,Hesperapis carinata,carinata,EMEC1326108 Hesperapis carinata.jpg,
75817448,140.93,1922,2016,683,788,0.4,114.02,1911,2025,1212,1210,Yes,Hesperapis,EMEC1326109,Hesperapis carinata,carinata,EMEC1326109 Hesperapis carinata.jpg,
75817449,253.0,1806,2059,589,590,0.25,126.15,1823,1948,1323,1340,Yes,Hesperapis,EMEC1326110,Hesperapis carinata,carinata,EMEC1326110 Hesperapis carinata.jpg,
75817450,248.0,1851,2099,606,605,0.2,100.98,1869,1969,1254,1268,Yes,Hesperapis,EMEC1326111,Hesperapis carinata,carinata,EMEC1326111 Hesperapis carinata.jpg,
75817451,250.01,1853,2103,590,588,0.27,133.02,1764,1897,1301,1303,Yes,Hesperapis,EMEC1326112,Hesperapis carinata,carinata,EMEC1326112 Hesperapis carinata.jpg,
75817452,244.0,1868,2112,594,594,0.25,121.04,1824,1945,1305,1302,Yes,Hesperapis,EMEC1326113,Hesperapis carinata,carinata,EMEC1326113 Hesperapis carinata.jpg,
75817453,244.0,1822,2066,608,608,0.24,118.51,1869,1987,1285,1274,Yes,Hesperapis,EMEC1326114,Hesperapis carinata,carinata,EMEC1326114 Hesperapis carinata.jpg,
75817454,248.02,1889,2137,605,602,0.25,122.48,1874,1995,1250,1269,Yes,Hesperapis,EMEC1326115,Hesperapis carinata,carinata,EMEC1326115 Hesperapis carinata.jpg,
75817455,250.0,1934,2184,612,613,0.23,115.02,1962,2077,1231,1229,Yes,Hesperapis,EMEC1326116,Hesperapis carinata,carinata,EMEC1326116 Hesperapis carinata.jpg,
75817456,235.7,1879,2096,710,802,0.26,123.07,1835,1943,1317,1376,Yes,Hesperapis,EMEC1326117,Hesperapis carinata,carinata,EMEC1326117 Hesperapis carinata.jpg,
75817457,247.0,1853,2100,603,602,0.21,106.02,1828,1934,1206,1208,Yes,Hesperapis,EMEC1326118,Hesperapis carinata,carinata,EMEC1326118 Hesperapis carinata.jpg,
75817458,147.0,1946,2093,626,625,0.41,119.51,1888,2007,1230,1219,Yes,Hesperapis,EMEC1326119,Hesperapis carinata,carinata,EMEC1326119 Hesperapis carinata.jpg,
