subject_id,classification_id,user_name,T2_1 Set scale (0.5 cm): x1,T2_1 Set scale (0.5 cm): x2,T2_1 Set scale (0.5 cm): y1,T2_1 Set scale (0.5 cm): y2,T2_1 Tegula length: x1,T2_1 Tegula length: x2,T2_1 Tegula length: y1,T2_1 Tegula length: y2,T3_1 Were you able to measure the bee?,catalogNumber,originalFileName,started_at,finished_at,gold_standard,expert,workflow_version
82155978,449505198,SophiA05,2818,2855,1746,2930,2200,2701,2136,2143,No,LACM ENT 602562,LACM ENT 602562_had_lbs.jpg,08-Nov-2022 16:53:09,08-Nov-2022 16:55:57,,,1.1
82156728,449505465,SophiA05,2789,2811,1547,2798,2186,2620,1915,1908,Yes,LACM ENT 602703,LACM ENT 602703_had_lbs.jpg,08-Nov-2022 16:55:57,08-Nov-2022 16:56:48,,,1.1
82151641,449505618,SophiA05,2649,2649,1312,1966,2237,2517,1591,1591,Yes,LACM ENT 601835,LACM ENT 601835_had_lbs.jpg,08-Nov-2022 16:56:48,08-Nov-2022 16:57:14,,,1.1
82151672,449505833,SophiA05,2899,2870,2099,1069,2355,2782,1694,1709,Yes,LACM ENT 601859,LACM ENT 601859_had_lbs.jpg,08-Nov-2022 16:57:14,08-Nov-2022 16:57:55,,,1.1
82151382,449505892,SophiA05,3024,3032,1797,2614,2502,2877,2047,2062,Yes,LACM ENT 601703,LACM ENT 601703_had_lbs.jpg,08-Nov-2022 16:57:55,08-Nov-2022 16:58:08,,,1.1
82155381,449506532,SophiA05,2929,2929,1775,2459,2649,2855,2003,2011,Yes,LACM ENT 602287,LACM ENT 602287_had_lbs.jpg,08-Nov-2022 16:58:08,08-Nov-2022 17:00:20,,,1.1
82154938,449506587,SophiA05,2495,2509,1591,1908,2193,2450,1775,1753,No,LACM ENT 602166,LACM ENT 602166_had_lbs-2.jpg,08-Nov-2022 17:00:20,08-Nov-2022 17:00:33,,,1.1
82155442,449506654,SophiA05,2686,2686,1466,2202,2333,2575,1753,1768,Yes,LACM ENT 602299,LACM ENT 602299_had_lbs.jpg,08-Nov-2022 17:00:33,08-Nov-2022 17:00:52,,,1.1
82151777,449506714,SophiA05,2914,2914,1709,2415,2539,2811,1959,1966,Yes,LACM ENT 601877,LACM ENT 601877_had_lbs.jpg,08-Nov-2022 17:00:52,08-Nov-2022 17:01:05,,,1.1
82153818,449506784,SophiA05,2318,2340,1599,2202,2002,2208,1797,1797,Yes,LACM ENT 602028,LACM ENT 602028_had_lbs-2.jpg,08-Nov-2022 17:01:06,08-Nov-2022 17:01:20,,,1.1
82155409,449506844,SophiA05,3127,3157,1451,2371,2774,3039,1687,1687,Yes,LACM ENT 602293,LACM ENT 602293_had_lbs.jpg,08-Nov-2022 17:01:20,08-Nov-2022 17:01:34,,,1.1
82155486,449506924,SophiA05,3274,3274,1885,2636,2678,3216,2283,2246,No,LACM ENT 602310,LACM ENT 602310_had_lbs.jpg,08-Nov-2022 17:01:34,08-Nov-2022 17:01:56,,,1.1
82155531,449507029,SophiA05,2178,2171,1982,1342,1847,2046,1600,1600,Yes,LACM ENT 602320,LACM ENT 602320_had_lbs.jpg,08-Nov-2022 17:01:56,08-Nov-2022 17:02:26,,,1.1
82155290,449507281,SophiA05,2612,2634,1746,2386,2222,2450,1989,1996,Yes,LACM ENT 602269,LACM ENT 602269_had_lbs-2.jpg,08-Nov-2022 17:02:26,08-Nov-2022 17:03:28,,,1.1
82153549,449507332,SophiA05,3098,3061,2011,2746,2458,2973,2371,2415,No,LACM ENT 602009,LACM ENT 602009_had_lbs-2.jpg,08-Nov-2022 17:03:28,08-Nov-2022 17:03:39,,,1.1
82150956,449507388,SophiA05,2936,2899,1496,2577,2450,2811,1863,1878,Yes,LACM ENT 601499,LACM ENT 601499_had_lbs.jpg,08-Nov-2022 17:03:39,08-Nov-2022 17:03:55,,,1.1
82151638,449507459,SophiA05,3076,3046,2143,2614,2686,2951,2305,2364,No,LACM ENT 601830,LACM ENT 601830_had_lbs.jpg,08-Nov-2022 17:03:55,08-Nov-2022 17:04:10,,,1.1
82155735,449507531,SophiA05,2921,2929,1466,2003,2671,2855,1628,1635,Yes,LACM ENT 602350,LACM ENT 602350_had_lbs-2.jpg,08-Nov-2022 17:04:10,08-Nov-2022 17:04:30,,,1.1
82151352,449507579,SophiA05,2870,2870,1753,2526,2450,2737,2084,2092,Yes,LACM ENT 601695,LACM ENT 601695_had_lbs.jpg,08-Nov-2022 17:04:30,08-Nov-2022 17:04:43,,,1.1
82151370,449507657,SophiA05,2892,2899,1974,2577,2414,2686,2202,2217,Yes,LACM ENT 601700,LACM ENT 601700_had_lbs.jpg,08-Nov-2022 17:04:44,08-Nov-2022 17:05:03,,,1.1
82155134,449507710,SophiA05,3068,3083,1562,2025,2745,2973,1599,1621,No,LACM ENT 602240,LACM ENT 602240_had_lbs-2.jpg,08-Nov-2022 17:05:03,08-Nov-2022 17:05:15,,,1.1
82153171,449507790,SophiA05,2634,2634,1437,2077,2281,2487,1621,1635,Yes,LACM ENT 601978,LACM ENT 601978_had_lbs-2.jpg,08-Nov-2022 17:05:15,08-Nov-2022 17:05:36,,,1.1
82152109,449507855,SophiA05,3098,3973,1422,1437,3709,3723,1702,1966,Yes,LACM ENT 601909,LACM ENT 601909_had_lbs-2.jpg,08-Nov-2022 17:05:36,08-Nov-2022 17:05:50,,,1.1
82151543,449507927,SophiA05,3267,3267,1554,2526,2826,3068,1863,1863,Yes,LACM ENT 601771,LACM ENT 601771_had_lbs.jpg,08-Nov-2022 17:05:50,08-Nov-2022 17:06:07,,,1.1
82153668,449508019,SophiA05,3091,3091,1937,2798,2656,2892,2231,2246,Yes,LACM ENT 602015,LACM ENT 602015_had_lbs.jpg,08-Nov-2022 17:06:07,08-Nov-2022 17:06:27,,,1.1
82151545,449508070,SophiA05,2914,2914,1856,2702,2399,2796,2172,2180,Yes,LACM ENT 601772,LACM ENT 601772_had_lbs.jpg,08-Nov-2022 17:06:27,08-Nov-2022 17:06:38,,,1.1
82154230,449508166,SophiA05,1725,1762,1079,1637,1399,1583,1253,1237,Yes,LACM ENT 602073.jpg,LACM ENT 602073.jpg,08-Nov-2022 17:06:41,08-Nov-2022 17:07:02,,,1.1
82151922,449508219,SophiA05,3245,3260,1827,2481,2752,3061,2084,2084,No,LACM ENT 601895,LACM ENT 601895_had_lbs-2.jpg,08-Nov-2022 17:07:02,08-Nov-2022 17:07:15,,,1.1
82152592,449508291,SophiA05,3068,3076,1613,2327,2737,2988,1797,1790,,LACM ENT 601936,LACM ENT 601936_had_lbs-2.jpg,08-Nov-2022 17:07:15,08-Nov-2022 17:07:31,,,1.1
82153794,449508360,SophiA05,3142,3157,1540,2327,2840,3054,1753,1753,Yes,LACM ENT 602027,LACM ENT 602027_had_lbs-2.jpg,08-Nov-2022 17:07:31,08-Nov-2022 17:07:46,,,1.1
82155069,449508600,SophiA05,3076,3091,1841,2614,2546,2914,2143,2143,No,LACM ENT 602220,LACM ENT 602220_had_lbs.jpg,08-Nov-2022 17:07:46,08-Nov-2022 17:08:39,,,1.1
82152870,449508647,SophiA05,3120,3113,1613,2290,2855,3017,1782,1790,Yes,LACM ENT 601957,LACM ENT 601957_had_lbs.jpg,08-Nov-2022 17:08:39,08-Nov-2022 17:08:50,,,1.1
82151364,449508788,SophiA05,2877,2892,1709,2172,2421,2708,2055,2025,No,LACM ENT 601699,LACM ENT 601699_had_lbs.jpg,08-Nov-2022 17:08:50,08-Nov-2022 17:09:15,,,1.1
82155444,449508864,SophiA05,2686,2693,1599,2143,2362,2539,1768,1775,Yes,LACM ENT 602300,LACM ENT 602300_had_lbs-2.jpg,08-Nov-2022 17:09:15,08-Nov-2022 17:09:30,,,1.1
82152212,449508937,SophiA05,4312,5379,2025,2040,5143,5070,1665,2003,Yes,LACM ENT 601914,LACM ENT 601914_had_lbs-2.jpg,08-Nov-2022 17:09:30,08-Nov-2022 17:09:46,,,1.1
82155414,449509009,SophiA05,1872,1883,1200,1574,1593,1767,1400,1353,Yes,LACM ENT 602295.jpg,LACM ENT 602295.jpg,08-Nov-2022 17:09:47,08-Nov-2022 17:10:05,,,1.1
82155133,449509128,SophiA05,2951,2943,2643,1930,2450,2848,2209,2224,Yes,LACM ENT 602239,LACM ENT 602239_had_lbs.jpg,08-Nov-2022 17:10:05,08-Nov-2022 17:10:31,,,1.1
82155385,449509189,SophiA05,2347,2369,1444,2121,2082,2274,1694,1694,Yes,LACM ENT 602291,LACM ENT 602291_had_lbs-2.jpg,08-Nov-2022 17:10:31,08-Nov-2022 17:10:48,,,1.1
82157263,449509262,SophiA05,2568,2531,2298,1591,2193,2495,1952,1908,No,LACM_ENTB_5990,LACM_ENTB_5990_had_lbs.jpg,08-Nov-2022 17:10:48,08-Nov-2022 17:11:03,,,1.1
82153578,449509405,SophiA05,2936,2936,1496,2040,2671,2855,1628,1643,Yes,LACM ENT 602010,LACM ENT 602010_had_lbs-2.jpg,08-Nov-2022 17:11:03,08-Nov-2022 17:11:36,,,1.1
82152999,449509463,SophiA05,4511,4724,1716,2651,4113,4408,2033,1944,Yes,LACM ENT 601967,LACM ENT 601967_had_lbs-2.jpg,08-Nov-2022 17:11:36,08-Nov-2022 17:11:48,,,1.1
82153109,449509567,SophiA05,2436,2458,1503,2114,2060,2311,1731,1724,Yes,LACM ENT 601973,LACM ENT 601973_had_lbs.jpg,08-Nov-2022 17:11:48,08-Nov-2022 17:12:13,,,1.1
82151167,449509646,SophiA05,2943,2980,1554,2614,2472,2782,1908,1915,Yes,LACM ENT 601562,LACM ENT 601562_had_lbs.jpg,08-Nov-2022 17:12:13,08-Nov-2022 17:12:28,,,1.1
82156611,449509782,SophiA05,2995,3024,1628,2658,2377,2745,2025,2018,Yes,LACM ENT 602684,LACM ENT 602684_had_lbs.jpg,08-Nov-2022 17:12:28,08-Nov-2022 17:12:54,,,1.1
82153215,449509839,SophiA05,2671,2701,1356,1981,2340,2553,1665,1665,Yes,LACM ENT 601983,LACM ENT 601983_had_lbs-2.jpg,08-Nov-2022 17:12:54,08-Nov-2022 17:13:07,,,1.1
82154290,449509913,SophiA05,2583,2620,1356,2099,2252,2443,1621,1621,Yes,LACM ENT 602079,LACM ENT 602079_had_lbs-2.jpg,08-Nov-2022 17:13:07,08-Nov-2022 17:13:21,,,1.1
82156648,449509970,SophiA05,3039,3120,1459,2533,2568,2929,1893,1849,Yes,LACM ENT 602689,LACM ENT 602689_had_lbs.jpg,08-Nov-2022 17:13:21,08-Nov-2022 17:13:34,,,1.1
82155976,449510061,SophiA05,3024,3282,1201,2629,2186,2840,1768,1731,Yes,LACM ENT 602559,LACM ENT 602559_had_lbs.jpg,08-Nov-2022 17:13:34,08-Nov-2022 17:13:56,,,1.1
82155013,449510111,SophiA05,3223,3238,1496,2224,2914,3135,1687,1687,Yes,LACM ENT 602198,LACM ENT 602198_had_lbs.jpg,08-Nov-2022 17:13:56,08-Nov-2022 17:14:12,,,1.1
82155198,449510160,SophiA05,3157,3164,1628,2415,2811,3002,1841,1849,Yes,LACM ENT 602251,LACM ENT 602251_had_lbs.jpg,08-Nov-2022 17:14:12,08-Nov-2022 17:14:25,,,1.1
82155478,449510215,SophiA05,3238,3304,1466,2511,2848,3068,1805,1805,Yes,LACM ENT 602307,LACM ENT 602307_had_lbs.jpg,08-Nov-2022 17:14:25,08-Nov-2022 17:14:39,,,1.1
82156404,449510573,SophiA05,2899,2907,1687,2607,2303,2701,2114,2077,Yes,LACM ENT 602643,LACM ENT 602643_had_lbs.jpg,08-Nov-2022 17:14:39,08-Nov-2022 17:16:04,,,1.1
82155268,449510622,SophiA05,2988,2980,1422,2195,2620,2870,1694,1679,Yes,LACM ENT 602265,LACM ENT 602265_had_lbs.jpg,08-Nov-2022 17:16:04,08-Nov-2022 17:16:15,,,1.1
82152747,449510713,SophiA05,2605,2598,1518,2401,2134,2406,1863,1849,Yes,LACM ENT 601945,LACM ENT 601945_had_lbs-2.jpg,08-Nov-2022 17:16:15,08-Nov-2022 17:16:40,,,1.1
82151606,449510764,SophiA05,2671,2678,1885,2585,2259,2531,2114,2106,Yes,LACM ENT 601802,LACM ENT 601802_had_lbs.jpg,08-Nov-2022 17:16:40,08-Nov-2022 17:16:52,,,1.1
82155091,449510816,SophiA05,3068,3105,1540,2202,2568,2951,1797,1812,Yes,LACM ENT 602226,LACM ENT 602226_had_lbs.jpg,08-Nov-2022 17:16:52,08-Nov-2022 17:17:06,,,1.1
82156200,449510898,SophiA05,2951,2988,1621,2614,2325,2701,1922,1922,Yes,LACM ENT 602606,LACM ENT 602606_had_lbs.jpg,08-Nov-2022 17:17:18,08-Nov-2022 17:17:32,,,1.1
82155402,449510947,SophiA05,3105,3142,1473,2356,2826,3010,1672,1687,Yes,LACM ENT 602293,LACM ENT 602293_had_lbs-2.jpg,08-Nov-2022 17:17:32,08-Nov-2022 17:17:44,,,1.1
82154007,449510981,SophiA05,2958,2980,1569,2047,2598,2796,1790,1768,Yes,LACM ENT 602043,LACM ENT 602043_had_lbs-2.jpg,08-Nov-2022 17:17:44,08-Nov-2022 17:17:57,,,1.1
82153326,449513816,SophiA05,3039,3061,1547,2217,2737,2936,1775,1768,Yes,LACM ENT 601991,LACM ENT 601991_had_lbs-2.jpg,08-Nov-2022 17:17:57,08-Nov-2022 17:30:19,,,1.1
82156857,449513871,SophiA05,2723,2782,2003,2989,2252,2649,2430,2415,Yes,LACM ENT 602718,LACM ENT 602718_had_lbs.jpg,08-Nov-2022 17:30:19,08-Nov-2022 17:30:31,,,1.1
82152914,449513914,SophiA05,1898,1962,1227,1805,1714,1862,1484,1474,Yes,LACM ENT 601959.jpg,LACM ENT 601959.jpg,08-Nov-2022 17:30:31,08-Nov-2022 17:30:43,,,1.1
82155622,449513957,SophiA05,2406,2443,1510,2136,2156,2303,1716,1716,Yes,LACM ENT 602345,LACM ENT 602345_had_lbs-2.jpg,08-Nov-2022 17:30:43,08-Nov-2022 17:30:56,,,1.1
82150932,449514005,SophiA05,2804,2855,1341,2423,2333,2715,1672,1650,Yes,LACM ENT 601472,LACM ENT 601472_had_lbs.jpg,08-Nov-2022 17:30:56,08-Nov-2022 17:31:08,,,1.1
82155497,449514384,SophiA05,2509,2517,1687,2298,2244,2428,1871,1856,Yes,LACM ENT 602311,LACM ENT 602311_had_lbs.jpg,08-Nov-2022 17:31:08,08-Nov-2022 17:32:56,,,1.1
82151581,449514417,SophiA05,3709,3863,1525,2938,2914,3606,2143,2106,Yes,LACM ENT 601787,LACM ENT 601787_had_lbs.jpg,08-Nov-2022 17:32:57,08-Nov-2022 17:33:07,,,1.1
82156387,449514460,SophiA05,3017,3032,1488,2511,2465,2862,1797,1797,Yes,LACM ENT 602635,LACM ENT 602635_had_lbs.jpg,08-Nov-2022 17:33:07,08-Nov-2022 17:33:19,,,1.1
82156162,449514729,SophiA05,3378,3400,1599,2055,3091,3333,1782,1797,Yes,LACM ENT 602596,LACM ENT 602596_had_lbs.jpg,08-Nov-2022 17:33:19,08-Nov-2022 17:34:27,,,1.1
82153403,449514767,SophiA05,3245,3289,1606,2489,2929,3164,1871,1893,Yes,LACM ENT 601996,LACM ENT 601996_had_lbs.jpg,08-Nov-2022 17:34:27,08-Nov-2022 17:34:38,,,1.1
82154289,449515053,SophiA05,3091,3091,1819,2658,3002,2575,2165,2165,Yes,LACM ENT 602078,LACM ENT 602078_had_lbs.jpg,08-Nov-2022 17:34:38,08-Nov-2022 17:35:57,,,1.1
82156613,449515119,SophiA05,2914,2936,1304,2298,2782,2392,1599,1621,Yes,LACM ENT 602686,LACM ENT 602686_had_lbs.jpg,08-Nov-2022 17:35:57,08-Nov-2022 17:36:12,,,1.1
82155190,449519155,SophiA05,2767,2782,1569,2312,2517,2701,1790,1790,Yes,LACM ENT 602248,LACM ENT 602248_had_lbs-2.jpg,08-Nov-2022 17:36:12,08-Nov-2022 17:52:15,,,1.1
82157422,449519193,SophiA05,2899,2862,1554,2261,2539,2804,1827,1841,No,LACM_ENTB_6004,LACM_ENTB_6004_had_lbs.jpg,08-Nov-2022 17:52:15,08-Nov-2022 17:52:26,,,1.1
82152957,449519237,SophiA05,2539,2561,1385,2099,2237,2428,1599,1613,,LACM ENT 601962,LACM ENT 601962_had_lbs.jpg,08-Nov-2022 17:52:26,08-Nov-2022 17:52:37,,,1.1
82155036,449520882,SophiA05,2421,2421,1679,2202,2119,2325,1834,1834,Yes,LACM ENT 602207,LACM ENT 602207_had_lbs-2.jpg,08-Nov-2022 17:52:37,08-Nov-2022 17:58:51,,,1.1
82155368,449520923,SophiA05,3149,3164,1628,2268,2789,3024,1827,1834,,LACM ENT 602285,LACM ENT 602285_had_lbs-2.jpg,08-Nov-2022 17:58:51,08-Nov-2022 17:58:59,,,1.1
82153242,449520952,SophiA05,2929,2907,2092,2879,2377,2723,2459,2459,,LACM ENT 601984,LACM ENT 601984_had_lbs.jpg,08-Nov-2022 17:58:59,08-Nov-2022 17:59:07,,,1.1
82150956,449590518,not-logged-in-f8b2158c8dab0de5d07b,1961,2780,542,536,2475,2795,1875,1884,Yes,LACM ENT 601499,LACM ENT 601499_had_lbs.jpg,08-Nov-2022 23:03:05,08-Nov-2022 23:03:49,,,1.1
82156310,449590630,not-logged-in-f8b2158c8dab0de5d07b,1927,2347,562,568,2596,2936,1806,1806,Yes,LACM ENT 602625,LACM ENT 602625_had_lbs.jpg,08-Nov-2022 23:03:49,08-Nov-2022 23:04:50,,,1.1
82155209,449615785,Bmcdarrah,2892,3326,674,670,2766,2932,1685,1687,Yes,LACM ENT 602252,LACM ENT 602252_had_lbs.jpg,08-Nov-2022 21:50:01,09-Nov-2022 01:46:11,,,1.1
82153354,449615834,Bmcdarrah,2550,2991,692,690,2302,2462,1602,1607,Yes,LACM ENT 601993,LACM ENT 601993_had_lbs-2.jpg,09-Nov-2022 01:46:11,09-Nov-2022 01:46:34,,,1.1
82151546,449615892,Bmcdarrah,2731,3174,764,764,2385,2600,1781,1783,Yes,LACM ENT 601775,LACM ENT 601775_had_lbs.jpg,09-Nov-2022 01:46:34,09-Nov-2022 01:46:54,,,1.1
82153437,449615931,Bmcdarrah,2876,3328,746,746,2680,2839,1735,1731,Yes,LACM ENT 602000,LACM ENT 602000_had_lbs.jpg,09-Nov-2022 01:46:55,09-Nov-2022 01:47:15,,,1.1
82151756,449615980,Bmcdarrah,2716,3162,692,690,2682,2887,2208,2195,Yes,LACM ENT 601872,LACM ENT 601872_had_lbs.jpg,09-Nov-2022 01:47:15,09-Nov-2022 01:47:39,,,1.1
82153957,449616023,Bmcdarrah,2230,2646,688,688,2236,2398,1609,1613,No,LACM ENT 602041,LACM ENT 602041_had_lbs-2.jpg,09-Nov-2022 01:47:39,09-Nov-2022 01:47:58,,,1.1
82153376,449616186,Bmcdarrah,2896,3344,759,755,2784,2928,1770,1766,Yes,LACM ENT 601994,LACM ENT 601994_had_lbs-2.jpg,09-Nov-2022 01:47:58,09-Nov-2022 01:49:02,,,1.1
82152813,449616217,Bmcdarrah,2954,3370,737,737,2847,3007,1994,1992,Yes,LACM ENT 601953,LACM ENT 601953_had_lbs-2.jpg,09-Nov-2022 01:49:02,09-Nov-2022 01:49:17,,,1.1
82151221,449616258,Bmcdarrah,3071,3518,773,773,2816,3033,1727,1719,Yes,LACM ENT 601570,LACM ENT 601570_had_lbs.jpg,09-Nov-2022 01:49:17,09-Nov-2022 01:49:31,,,1.1
82154902,449616299,Bmcdarrah,2874,3285,706,701,2696,2833,1686,1689,Yes,LACM ENT 602150,LACM ENT 602150_had_lbs.jpg,09-Nov-2022 01:49:32,09-Nov-2022 01:49:45,,,1.1
82156795,449616332,Bmcdarrah,2726,3142,800,800,2606,2948,1850,1856,Yes,LACM ENT 602711,LACM ENT 602711_had_lbs.jpg,09-Nov-2022 01:49:45,09-Nov-2022 01:49:57,,,1.1
82156163,449616372,Bmcdarrah,2364,2811,674,648,2176,2385,1715,1711,Yes,LACM ENT 602600,LACM ENT 602600_had_lbs.jpg,09-Nov-2022 01:49:57,09-Nov-2022 01:50:12,,,1.1
82155070,449616402,Bmcdarrah,2494,2945,804,809,2256,2414,1884,1890,Yes,LACM ENT 602221,LACM ENT 602221_had_lbs-2.jpg,09-Nov-2022 01:50:12,09-Nov-2022 01:50:21,,,1.1
82155004,449616438,Bmcdarrah,2400,2856,795,791,2249,2422,1753,1743,Yes,LACM ENT 602190,LACM ENT 602190_had_lbs.jpg,09-Nov-2022 01:50:21,09-Nov-2022 01:50:32,,,1.1
82151319,449616476,Bmcdarrah,2829,3276,786,782,2602,2800,2008,2002,Yes,LACM ENT 601660,LACM ENT 601660_had_lbs.jpg,09-Nov-2022 01:50:32,09-Nov-2022 01:50:45,,,1.1
82154581,449616518,Bmcdarrah,2395,2802,733,733,2178,2341,1544,1549,Yes,LACM ENT 602098,LACM ENT 602098_had_lbs.jpg,09-Nov-2022 01:50:45,09-Nov-2022 01:51:01,,,1.1
82154475,449616580,Bmcdarrah,2494,2950,800,800,2284,2466,1922,1922,Yes,LACM ENT 602092,LACM ENT 602092_had_lbs.jpg,09-Nov-2022 01:51:01,09-Nov-2022 01:51:29,,,1.1
82155503,449616608,Bmcdarrah,2896,3348,764,759,2659,2821,1751,1736,Yes,LACM ENT 602312,LACM ENT 602312_had_lbs-2.jpg,09-Nov-2022 01:51:29,09-Nov-2022 01:51:41,,,1.1
82155099,449635491,not-logged-in-6d0a85823fcc731f56c5,2802,2820,2334,1565,2664,2936,2133,2110,Yes,LACM ENT 602230,LACM ENT 602230_had_lbs-2.jpg,09-Nov-2022 03:37:46,09-Nov-2022 03:38:43,,,1.1
82155503,449642834,Lizzibee,2001,2445,818,818,2662,2820,1747,1739,Yes,LACM ENT 602312,LACM ENT 602312_had_lbs-2.jpg,09-Nov-2022 05:10:29,09-Nov-2022 05:18:33,,,1.1
82152246,449642937,Lizzibee,1671,2109,787,785,2415,2584,1716,1715,Yes,LACM ENT 601917,LACM ENT 601917_had_lbs-2.jpg,09-Nov-2022 05:18:33,09-Nov-2022 05:19:49,,,1.1
82152998,449643031,Lizzibee,1278,1716,796,795,2045,2207,1813,1811,Yes,LACM ENT 601964,LACM ENT 601964_had_lbs.jpg,09-Nov-2022 05:19:49,09-Nov-2022 05:21:07,,,1.1
